,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-30,300033,97.2,108.68,108.68,94.08,209641,2190858848.0,14.78,10.0,9.88,8.0
1,2015-05-04,300033,110.0,101.3,110.0,98.0,242099,2496547920.0,11.04,-6.79,-7.38,9.24
2,2015-05-05,300033,98.15,95.2,100.0,93.44,183770,1768031664.0,6.48,-6.02,-6.1,7.01
3,2015-05-06,300033,98.19,100.2,104.72,97.0,278245,2821257216.0,8.11,5.25,5.0,10.62
4,2015-05-07,300033,96.0,96.16,102.0,93.0,190484,1861584672.0,8.98,-4.03,-4.04,7.27
5,2015-05-08,300033,99.75,101.9,103.58,99.09,210039,2128359664.0,4.67,5.97,5.74,8.02
6,2015-05-11,300033,104.0,112.09,112.09,101.0,248602,2742072704.0,10.88,10.0,10.19,9.49
7,2015-05-12,300033,116.5,123.3,123.3,113.99,288840,3434599936.0,8.31,10.0,11.21,11.02
8,2015-05-13,300033,116.0,117.7,128.5,113.8,312222,3774669648.0,11.92,-4.54,-5.6,11.92
9,2015-05-14,300033,112.63,107.4,119.2,106.1,224167,2489755840.0,11.13,-8.75,-10.3,8.56
10,2015-05-15,300033,103.94,108.14,112.0,100.4,171471,1839702448.0,10.8,0.69,0.74,6.54
11,2015-05-18,300033,110.2,111.0,116.5,108.14,177437,1992227152.0,7.73,2.64,2.86,6.77
12,2015-05-19,300033,109.01,110.79,115.0,104.2,176867,1931641776.0,9.73,-0.19,-0.21,6.75
13,2015-05-20,300033,110.82,113.81,118.87,110.81,178875,2063444208.0,7.28,2.73,3.02,6.83
14,2015-05-21,300033,114.05,110.1,116.0,107.0,191110,2117760736.0,7.91,-3.26,-3.71,7.29
15,2015-05-22,300033,110.18,112.9,116.0,108.0,209313,2371748448.0,7.27,2.54,2.8,7.99
16,2015-05-25,300033,105.0,104.1,108.5,103.0,215599,2267566160.0,4.87,-7.79,-8.8,8.23
17,2015-05-26,300033,103.2,107.95,109.99,102.12,207035,2208378032.0,7.56,3.7,3.85,7.9
18,2015-05-27,300033,106.0,101.55,106.73,98.89,231311,2367471040.0,7.26,-5.93,-6.4,8.83
19,2015-05-28,300033,101.3,92.8,101.3,92.8,215593,2084897824.0,8.37,-8.62,-8.75,8.23
20,2015-05-29,300033,92.7,94.88,97.03,87.44,164958,1557305968.0,10.33,2.24,2.08,6.3
21,2015-06-01,300033,95.76,99.1,99.99,92.88,151630,1486171568.0,7.49,4.45,4.22,5.79
22,2015-06-02,300033,98.97,109.01,109.01,96.68,247837,2576217504.0,12.44,10.0,9.91,9.46
23,2015-06-03,300033,111.2,119.91,119.91,111.18,371719,4376327424.0,8.01,10.0,10.9,14.19
24,2015-06-04,300033,121.2,131.9,131.9,112.0,280382,3450165136.0,16.6,10.0,11.99,10.7
25,2015-06-05,300033,137.1,123.77,142.5,121.5,255760,3394695568.0,15.92,-6.16,-8.13,9.76
26,2015-06-08,300033,119.29,116.01,122.0,111.39,213965,2461896992.0,8.57,-6.27,-7.76,8.17
27,2015-06-09,300033,115.98,120.0,124.87,112.8,165958,1994483920.0,10.4,3.44,3.99,6.33
28,2015-06-10,300033,117.0,127.9,131.5,115.0,183744,2255435680.0,13.75,6.58,7.9,7.01
29,2015-06-11,300033,125.97,119.34,127.49,118.92,147286,1800729344.0,6.7,-6.69,-8.56,5.62
30,2015-06-12,300033,116.8,114.0,118.0,111.0,167122,1905421232.0,5.87,-4.47,-5.34,6.38
31,2015-06-15,300033,109.0,102.6,112.98,102.6,216530,2274384432.0,9.11,-10.0,-11.4,8.26
32,2015-06-16,300033,98.0,107.61,109.6,94.8,208884,2153192464.0,14.42,4.88,5.01,7.97
33,2015-06-17,300033,104.0,118.37,118.37,103.0,238541,2663726768.0,14.28,10.0,10.76,9.1
34,2015-06-18,300033,120.33,106.53,122.0,106.53,209845,2370241040.0,13.07,-10.0,-11.84,8.01
35,2015-06-19,300033,101.0,103.32,111.3,98.02,183105,1950044496.0,12.47,-3.01,-3.21,6.99
36,2015-06-23,300033,104.8,104.55,106.79,95.73,161090,1644464544.0,10.7,1.19,1.23,6.15
37,2015-06-24,300033,104.55,100.49,105.3,97.99,167155,1686258224.0,6.99,-3.88,-4.06,6.38
38,2015-06-25,300033,102.01,96.5,102.99,94.0,148557,1479052720.0,8.95,-3.97,-3.99,5.67
39,2015-06-26,300033,90.0,86.85,92.0,86.85,126320,1108212320.0,5.34,-10.0,-9.65,4.82
40,2015-06-29,300033,83.0,78.17,84.67,78.17,114731,909513440.0,7.48,-9.99,-8.68,4.38
41,2015-06-30,300033,70.36,85.99,85.99,70.35,319777,2496091936.0,20.01,10.0,7.82,12.21
42,2015-07-01,300033,84.28,77.39,90.37,77.39,293685,2508831088.0,15.09,-10.0,-8.6,11.21
43,2015-07-02,300033,77.51,71.2,81.0,70.0,227200,1699736000.0,14.21,-8.0,-6.19,8.67
44,2015-07-03,300033,68.02,64.36,76.0,64.08,246460,1664019632.0,16.74,-9.61,-6.84,9.41
45,2015-07-06,300033,70.8,70.8,70.8,57.92,423960,2715732496.0,20.01,10.01,6.44,16.18
