company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
水合木科技（天津）有限公司,python开发工程师,天津,12000.0,16000.0,1-3年,大专,不需要融资,15-50人,Y,N,N,N,N,N,N,N
进贸通,python开发工程师,天津,12000.0,16000.0,1-3年,大专,未融资,150-500人,Y,N,N,N,N,N,N,N
苏州百捷信息科技有限公司,Python开发工程师,广州,10000.0,15000.0,3-5年,本科,不需要融资,150-500人,Y,Y,N,N,N,N,N,N
华玮佳,python开发工程师,南京,10000.0,15000.0,1-3年,本科,未融资,50-150人,N,N,N,N,Y,N,N,N
华玮佳,python开发工程师,南京,10000.0,15000.0,3-5年,本科,未融资,50-150人,N,N,N,N,Y,N,N,N
国城科技,python,成都,12000.0,16000.0,3-5年,大专,天使轮,50-150人,N,N,N,N,N,N,N,N
颗粒度传媒,python开发工程师,长沙,10000.0,13000.0,3-5年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
爱道格,python开发工程师,武汉,15000.0,20000.0,3-5年,本科,不需要融资,15-50人,N,N,N,N,Y,N,N,N
华为杭州研究所,python开发工程师,杭州,15000.0,30000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
天域盛业,python工程师,北京,10000.0,18000.0,3-5年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
合众融智,python开发工程师,成都,8000.0,10000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
水合木科技（天津）有限公司,python开发工程师,天津,12000.0,18000.0,3-5年,大专,不需要融资,15-50人,N,N,N,N,N,N,N,N
阿伽科技,python开发工程师,上海,13000.0,26000.0,1-3年,本科,天使轮,少于15人,N,N,N,N,N,N,N,N
融万,python开发,上海,20000.0,24000.0,5-10年,本科,A轮,50-150人,N,N,N,Y,N,N,N,N
理工数字,python开发工程师,武汉,25000.0,40000.0,5-10年,本科,D轮及以上,150-500人,N,N,N,N,N,N,N,N
明月华炎,python开发工程师,南京,8000.0,12000.0,1-3年,本科,C轮,150-500人,Y,N,N,N,N,N,N,N
大悦科技,python工程师,珠海,7000.0,12000.0,1-3年,大专,不需要融资,15-50人,N,N,N,Y,N,N,N,N
杭州鸿致,python开发工程师,杭州,8000.0,15000.0,1-3年,本科,未融资,少于15人,N,N,N,N,N,N,N,N
若邻科技,python开发,西安,6000.0,9000.0,1-3年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
甜夜网络,python开发,哈尔滨,6000.0,12000.0,3-5年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
华为西安,python开发工程师,西安,13000.0,20000.0,不限,本科,不需要融资,2000人以上,Y,N,N,N,N,N,N,N
蓝象科技,python开发工程师,杭州,20000.0,30000.0,1-3年,本科,A轮,50-150人,N,N,N,N,N,Y,N,N
阿提拉,python开发工程师,北京,15000.0,25000.0,3-5年,本科,未融资,150-500人,N,N,N,N,N,N,N,N
优为轻创,python开发工程师,深圳,15000.0,22000.0,3-5年,本科,不需要融资,50-150人,N,N,N,N,N,N,N,N
小豹科技,Python工程师,成都,10000.0,15000.0,3-5年,本科,未融资,少于15人,N,N,N,N,N,N,N,N
念珠智能,python开发工程师,郑州,4000.0,6000.0,3-5年,本科,天使轮,少于15人,N,N,N,N,Y,N,N,N
大船团,python工程师,西安,8000.0,12000.0,3-5年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
信永中和,Python开发工程师,北京,10000.0,20000.0,3-5年,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
宁波思艾特软件有限公司,python工程师,宁波,10000.0,17000.0,1-3年,本科,不需要融资,150-500人,N,N,N,N,N,N,N,N
杭州鸿致,python开发工程师,杭州,10000.0,16000.0,1-3年,本科,未融资,少于15人,N,N,N,N,N,N,N,N
大眼睛,python开发工程师,天津,8000.0,13000.0,1-3年,本科,未融资,15-50人,Y,N,N,N,Y,N,N,N
开科唯识,python开发工程师,青岛,15000.0,20000.0,5-10年,本科,C轮,500-2000人,N,N,N,N,N,N,N,N
阅得科技,python开发工程师,东莞,12000.0,16000.0,3-5年,本科,天使轮,少于15人,N,N,N,N,N,N,N,N
葭仓科技,python开发工程师,上海,12000.0,20000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
奥创高新,python开发工程师,深圳,12000.0,15000.0,3-5年,大专,不需要融资,少于15人,N,N,N,N,Y,N,N,N
京北方,python开发,北京,14000.0,17000.0,3-5年,本科,上市公司,2000人以上,N,N,N,Y,N,N,N,N
上海强辰,python开发,上海,13000.0,20000.0,3-5年,本科,未融资,50-150人,N,N,N,N,N,N,N,N
中国民航信息网络股份有限公司重庆分公司,python开发工程师,重庆,5000.0,10000.0,1-3年,本科,上市公司,500-2000人,N,N,N,N,N,N,N,Y
乐谷游戏,python开发工程师,武汉,10000.0,20000.0,3-5年,大专,A轮,50-150人,N,N,N,N,N,N,N,Y
文信博易,python开发工程师,北京,15000.0,25000.0,3-5年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
瑞莱士,python开发工程师,深圳,15000.0,30000.0,3-5年,本科,未融资,50-150人,N,N,N,N,N,N,N,N
友点科技,python开发工程师,深圳,11000.0,18000.0,3-5年,大专,不需要融资,150-500人,Y,N,N,N,N,N,N,N
贝壳,Python开发工程师,北京,25000.0,40000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
北纬四十度,python开发工程师,西安,8000.0,13000.0,1-3年,本科,未融资,50-150人,N,N,N,Y,N,N,N,N
比特鹰,python开发工程师,广州,8000.0,13000.0,1-3年,不限,未融资,15-50人,N,N,N,N,Y,N,N,N
六坊信息,python开发工程师,上海,10000.0,20000.0,3-5年,本科,未融资,15-50人,N,Y,N,N,N,N,Y,Y
