,股票代码,公司名称,日期,年份,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,自由现金流,资本开支,净利润,营业收入,总资产同比变化,营业总收入同比变化,营业成本,净营业周期,销售收现率,归母加权ROE,毛利率,销售净利率,资产周转率,杠杆倍数,有息负债率,资产负债率,流动比率,速动比率,归母净利润,净资产,归母权益,归属于母公司股东及其他权益持有者的净利润,总股本,市值,固定资产,销售费用率,管理费用率,研发费用率,财务费用,PE-TTM(扣非),股息率,应付账款,现金流肖像
0,002195,岩山科技,2024-12-31,2024,-199907238,-95126752,-142052450,-264920933,70276952,16395207.0,661578789,0.04311579167215102,0.17059220521646024,440102808.0,37.438688266818396,0.8820994561843487,0.0033,0.3347688660556498,-0.08444017542406426,0.06431387274337147,1.0242048555276113,0.002697796973887447,0.023632826379389113,34.980702871374795,34.83978047446776,32461729,9789261372.0,1.723,32461729,5681544595.999999,22555732046.120003,291622374.0,0.041093206813799465,0.38896825333376883,0.3608798482806256,-0.05336808493115096,9388.496767981167,0.002538089957929243,78682956.0,危险
1,002195,岩山科技,2023-12-31,2023,490898021,-840977946,-108180045,430636087,62426186,288657319.0,565165893,0.018201619995446214,-0.15311367780304574,261911675.0,36.51265561883819,0.86235966295298,0.0348,0.5365755820654238,0.5868770764622203,0.0566319150528272,1.034270960722989,0.00567345927245071,0.0331353794358033,28.373237185107108,28.32488946534936,331760347,9735754272.0,1.7006,331760347,5724847663.0,17575282325.41,77522920.0,0.02541755470017367,0.2713727312628188,0.1574735791779282,-0.30392960213542114,95.0987823228602,0.006364722411216826,63105453.0,奶牛型
2,002195,岩山科技,2022-12-31,2022,716391283,650218218,-269188100,710182995,6552176,173900253.0,667345638,-0.008416796114404207,-0.2842782562477101,269201329.0,121.0199687233743,0.8495975783990964,0.0227,0.5966088430475363,0.3177888307408102,0.06719413790799905,1.0511690848122373,0.024515150616150658,0.04867826266159387,20.557211662757158,20.5431891400282,211947960,9408222128.0,1.6434,211947960,5724847663.0,11506943802.63,57366954.0,0.019040169406187083,0.23365149949477904,0.1519880826732848,-0.12200893414695549,31.323221798336927,0.009721242687778934,60032736.0,母鸡型
3,002195,岩山科技,2021-12-31,2021,183908930,-1255329969,-353499389,117225642,73279472,371175595.0,932409339,0.006602545709071857,-0.239341794199485,413846467.0,148.66410003025706,0.9864935276029019,0.0435,0.5561536658954465,0.42630820002972963,0.09379556320274447,1.0740568908015746,0.039349065829692935,0.06895062210932376,12.251958546066696,12.247182341037655,397347917,9275672615.0,1.6202,397347917,5724847663.0,13396143531.0,58369325.0,0.026526833189516135,0.19764781013202615,0.1580952440460273,-0.004953434941946672,-14.237280028018871,0.0,68692722.0,奶牛型
4,002195,岩山科技,2020-12-31,2020,808275310,-515258534,-530145042,795637256,12730227,-975434335.0,1225792783,-0.12963520839129025,-0.49778263150537305,610573405.0,69.97268966802973,0.9507378246654271,-0.0952,0.5018950890658,-0.744826767347675,0.11514076100647451,1.0834359540582044,0.03709028957802495,0.07701050868427628,10.08349689526308,10.078927338001833,-913158157,9135051423.0,1.5957,-913158157,5724847663.0,12938155718.0,84161930.0,0.022878760903913723,0.1441682211307325,0.14504151555279635,-0.02926807491246259,42.42018268321311,0.006690011929369313,155636230.0,奶牛型
5,002195,岩山科技,2019-12-31,2019,1656574972,-1042444565,-1062649752,1477543626,179138084,698960404.0,2440761431,-0.03327498063969435,-0.353255375431293,231362490.0,-258.05555735116974,0.8801437996829768,0.0789,0.9052088880701425,0.31542209050909903,0.21077689469043748,1.1177147012132718,0.06232000814193014,0.10531730591653628,6.05839805955894,6.033607065079631,759120256,10159214361.0,1.7606,759120256,5770427743.0,18638481610.0,137487022.0,0.31246483138974185,0.08202034146286048,0.10123542098859067,0.0008206410403573769,19.475947335632185,0.007151276986494108,205724678.0,奶牛型
6,002195,岩山科技,2018-12-31,2018,-178559858,-566068402,813934182,-209768936,31322272,1333621319.0,3773918388,0.28385522170809213,0.17928061962836023,398975015.0,-155.3575041262739,1.0109198635908605,0.1655,0.8942809637143643,0.3635958844163537,0.3603141343895475,1.2621147054772253,0.1268519844635663,0.20767898855763325,4.212401512453725,4.172899499069925,1367355675,9315673779.0,2.0967,1367355675,4442964822.0,16394540193.0,71811802.0,0.21340684620019398,0.057393230518370184,0.07892644895213351,-0.0063923671684868455,12.818248777013292,0.006250250774874038,317862623.0,危险
7,002223,鱼跃医疗,2024-12-31,2024,1816269733,-25498591,-2399160129,1692620995,128430788,1392839113.0,7565819017,-0.020145697726457593,-0.05091933724638323,3772269939.0,24.728125131158215,1.0457249905426862,0.1482,0.5014062680426393,0.23847601230559545,0.4786487482911093,1.2364123097751547,0.002762301725897206,0.19120831126159452,3.4383130230177805,2.8839212656846778,1805700655,12535332608.0,12.5044,1805700655,1002476929.0,36580383139.21,1956323867.0,0.17994064065516358,0.05660063993571471,0.0722570313632444,-0.031185213982762656,25.417866646285614,0.03287020752145046,1529466269.0,奶牛型
8,002223,鱼跃医疗,2023-12-31,2023,2126977842,1735269025,-1465181814,2025949225,132574471,1835621624.0,7971734452,0.0577830105221565,0.12251402413397679,3866870037.0,22.70142357118368,1.086603599023145,0.2245,0.5149273899822573,0.29811231649892395,0.5132678294014891,1.3400580125229344,0.07757256261838781,0.25376365010245316,3.266115532431365,2.757554888486085,2395853276,11763562139.0,11.7345,2395853276,1002476929.0,34665652204.82,1974016724.0,0.13777637521837513,0.05156070858542943,0.06326994909789803,-0.019753453899921752,17.674643779964715,0.01735106998264893,1410729789.0,母鸡型
9,002223,鱼跃医疗,2022-12-31,2022,2304919409,-417894277,354894728,2127203810,379370430,1250509076.0,7101679160,0.2581587643108555,0.03007858723909611,3683643378.0,55.92541423804118,1.0984682947856519,0.1751,0.48129966237449684,0.22145324416486312,0.5242432179325763,1.4995591753614979,0.14058934253298583,0.3331373537429154,3.0987645193926276,2.598256314775051,1595037435,9860018658.0,9.8357,1595037435,1002476929.0,31938914957.94,2098694250.0,0.14524252374138513,0.05918921828622852,0.06989912861678758,-0.013553521615302036,30.492305699262825,0.009416195856873822,1447449448.0,蛮牛型
