,abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
0,平安银行,21637598.79,1940557.18,1,1940591.82,21637212.61
1,万 科Ａ,8089021.02,971693.59,2,1193070.95,6588082.52
2,*ST国华,102329.96,12628.81,4,13238.03,97620.7
3,深振业Ａ,869396.81,134998.74,6,134999.5,869391.88
4,全新好,245978.11,34644.8,7,34644.8,245978.11
5,神州高铁,747003.86,271623.39,8,271637.77,746964.33
6,中国宝安,2071108.81,255143.03,9,257921.4,2048798.55
7,美丽生态,328800.56,52595.14,10,114965.23,150422.09
8,深物业A,500026.46,52647.55,11,59597.91,441712.98
9,南 玻Ａ,1470861.52,195926.73,12,307069.21,938489.05
10,沙河股份,265766.75,24204.62,14,24204.62,265766.75
11,深康佳Ａ,1297882.57,159659.38,16,240794.54,860564.06
12,深中华A,448659.39,30298.5,17,68918.49,197243.21
13,深粮控股,780266.37,41621.64,19,115253.53,281778.51
14,深华发Ａ,339227.15,18116.54,20,28316.12,217036.14
15,深科技,2837148.24,156042.37,21,156058.76,2836850.31
16,特 力Ａ,738833.96,39277.83,25,43105.83,673222.04
17,飞亚达,471497.78,36476.93,26,40576.4,423861.95
18,深圳能源,3135119.95,475738.99,27,475738.99,3135119.95
19,国药一致,1384733.91,47805.37,28,55656.51,1189397.64
20,深深房Ａ,1699588.8,89166.0,29,101166.0,1497988.8
21,富奥股份,1067627.21,169241.19,30,174164.31,1037448.47
22,大悦城,1123014.09,400288.72,31,428631.33,1048756.44
23,深桑达Ａ,2562684.19,64476.38,32,113795.92,1452008.1
24,神州数码,2921858.85,59436.8,34,71126.07,2441663.92
25,中国天楹,1105346.17,242579.41,35,250078.32,1072200.99
26,华联控股,537184.12,148126.63,36,148393.4,536218.39
27,深南电A,517773.07,33890.82,37,60276.26,291122.1
28,中集集团,4146848.18,230140.71,39,539252.04,1769782.09
29,中洲控股,458068.65,66413.12,42,66483.11,457586.4
30,深纺织Ａ,515132.72,45700.08,45,50652.18,464769.86
31,京基智农,854284.7,52675.98,48,53028.22,848609.96
32,德赛电池,828126.76,38453.49,49,38463.85,827903.56
